Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",82.850000,-60.875000,90.000000,top
"C2","10u","C_0805_2012Metric",58.100000,-92.430000,-90.000000,top
"C3","10u","C_0805_2012Metric",60.100000,-92.430000,-90.000000,top
"C4","10u","C_0805_2012Metric",71.475000,-92.410000,-90.000000,top
"C5","10u","C_0805_2012Metric",67.400000,-60.820000,180.000000,top
"C6","10u","C_0805_2012Metric",67.425000,-67.025000,180.000000,top
"C7","10u","C_0805_2012Metric",73.450000,-92.410000,-90.000000,top
"C8","10u","C_0805_2012Metric",74.900000,-75.400000,180.000000,top
"C9","10u","C_0805_2012Metric",74.000000,-81.525000,0.000000,top
"C10","10u","C_0805_2012Metric",99.300000,-80.000000,0.000000,top
"C11","100n","C_0805_2012Metric",70.750000,-77.700000,0.000000,top
"C12","10u","C_0805_2012Metric",99.225000,-90.450000,0.000000,top
"C13","1u","C_0805_2012Metric",70.700000,-81.650000,-90.000000,top
"C14","100n","C_0805_2012Metric",70.725000,-85.150000,90.000000,top
"C15","10u","C_0805_2012Metric",70.750000,-75.725000,0.000000,top
"C16","100n","C_0805_2012Metric",66.300000,-75.300000,90.000000,top
"C17","1u","C_0805_2012Metric",64.300000,-75.300000,90.000000,top
"C18","1u","C_0805_2012Metric",75.000000,-85.500000,0.000000,top
"C19","100n","C_0805_2012Metric",74.000000,-83.525000,0.000000,top
"C20","100n","C_0805_2012Metric",92.500000,-98.700000,90.000000,top
"C21","2n2","C_0805_2012Metric",102.500000,-97.730000,-90.000000,top
"C22","2n2","C_0805_2012Metric",104.500000,-97.730000,-90.000000,top
"C23","1u","C_0805_2012Metric",89.420000,-94.720000,0.000000,top
"C24","1u","C_0805_2012Metric",94.475000,-98.700000,90.000000,top
"C25","2n2","C_0805_2012Metric",104.440000,-86.677500,90.000000,top
"C26","2n2","C_0805_2012Metric",102.480000,-86.692500,90.000000,top
"C27","1u","C_0805_2012Metric",96.770000,-98.640000,90.000000,top
"C28","100n","C_0805_2012Metric",88.370000,-92.710000,0.000000,top
"C29","100n","C_0805_2012Metric",99.225000,-88.450000,0.000000,top
"C30","1u","C_0805_2012Metric",99.200000,-86.475000,180.000000,top
"C31","1u","C_0805_2012Metric",95.525000,-95.960000,180.000000,top
"C32","100n","C_0805_2012Metric",81.675000,-76.540000,0.000000,top
"C33","10n_film","C_0805_2012Metric",68.040000,-86.390000,180.000000,top
"C34","10n_film","C_0805_2012Metric",63.990000,-86.380000,0.000000,top
"D1","LED_R","LED_0805_2012Metric",58.505000,-79.750000,0.000000,top
"D2","LED_R","LED_0805_2012Metric",94.510000,-84.300000,-90.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",52.000000,-61.000000,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",110.000000,-61.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",105.000000,-105.000000,0.000000,top
